timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z,IMU_vel_x,IMU_vel_y,IMU_vel_z,Razor_acc_x,Razor_acc_y,Razor_acc_z,Razor_vel_x,Razor_vel_y,Razor_vel_z,LC_data,speed,current,duty_cycle
0:00:00.851789,-447,160,878,2,-11,0,-0.285,-0.027,0.971,,,,,,,
0:00:00.851849,-452,155,869,4,-12,2,-0.285,-0.026,0.967,0.076,-0.191,-0.839,,,,
0:00:00.859175,-451,168,873,1,-10,0,,,,0.16,-0.168,-0.839,,,,
0:00:00.866065,-450,159,869,2,-8,0,-0.282,-0.025,0.969,0.137,-0.107,-0.786,,67240464,9870,48774
0:00:00.867692,-445,161,877,0,-10,0,-0.283,-0.024,0.973,0.191,-0.046,-0.755,,,,
0:00:00.878722,-443,159,879,3,-9,0,-0.282,-0.024,0.975,0.183,-0.13,-0.702,,,,
0:00:00.896066,-448,158,869,1,-12,1,-0.284,-0.025,0.976,,,,3310,,,
0:00:00.902338,-441,162,878,4,-10,2,-0.283,-0.025,0.974,0.107,-0.076,-0.801,,,,
0:00:00.902407,-441,162,875,2,-11,0,,,,0.084,-0.229,-0.755,,,,
0:00:00.902489,-450,163,870,2,-11,0,-0.281,-0.025,0.975,0.084,-0.244,-0.748,,,,
0:00:00.917126,-446,163,868,4,-11,0,-0.282,-0.026,0.972,0.191,-0.175,-0.74,,,,
0:00:00.917605,-445,155,872,1,-11,0,-0.284,-0.027,0.97,0.168,-0.175,-0.809,,67240464,9870,48774
0:00:00.923313,-450,159,867,1,-8,0,-0.286,-0.025,0.972,,,,,,,
0:00:00.930193,-446,164,874,2,-10,2,-0.282,-0.026,0.971,0.069,-0.168,-0.862,-7376,,,
0:00:00.938651,-452,165,880,0,-8,0,,,,0.107,-0.244,-0.816,,,,
0:00:00.944204,-444,162,886,2,-10,0,-0.284,-0.026,0.97,0.069,-0.137,-0.854,,,,
0:00:00.967840,-439,151,872,2,-12,0,-0.284,-0.025,0.969,0.175,-0.16,-0.885,,,,
0:00:00.967909,-448,162,874,-1,-9,0,-0.282,-0.024,0.973,,,,,,,
0:00:00.967958,-455,159,884,2,-11,0,-0.284,-0.025,0.97,0.099,-0.153,-0.87,,,,
0:00:00.972214,-458,158,882,2,-10,2,-0.284,-0.024,0.974,0.122,-0.267,-0.877,,67240464,9870,48774
0:00:00.998118,-445,172,869,2,-9,1,,,,0.053,-0.168,-0.87,-8627,,,
0:00:00.998807,-452,163,876,1,-11,1,-0.281,-0.024,0.971,0.107,-0.206,-0.763,,,,
0:00:00.998868,-451,154,884,3,-12,1,-0.282,-0.027,0.974,0.168,-0.206,-0.725,,,,
0:00:01.006247,-449,161,880,2,-9,2,-0.285,-0.027,0.97,,,,,,,
0:00:01.023238,-445,156,883,3,-10,1,-0.283,-0.023,0.968,0.244,-0.168,-0.778,,,,
0:00:01.023488,-452,154,872,2,-9,1,-0.284,-0.024,0.966,0.16,-0.244,-0.786,,,,
0:00:01.023764,-459,164,877,5,-10,1,,,,0.099,-0.267,-0.862,1018,,,
0:00:01.028262,-453,162,877,2,-9,0,-0.285,-0.023,0.971,0.099,-0.191,-0.809,,67240464,9870,48774
0:00:01.035309,-445,154,874,3,-11,1,-0.285,-0.023,0.971,0.175,-0.175,-0.854,,,,
0:00:01.042987,-448,154,884,0,-11,1,-0.284,-0.023,0.971,,,,,,,
0:00:01.049299,-448,165,878,5,-10,0,-0.283,-0.025,0.973,0.076,-0.252,-0.832,,,,
0:00:01.057992,-450,166,868,3,-11,1,-0.285,-0.025,0.975,0.092,-0.16,-0.862,,,,
0:00:01.063292,-451,163,884,1,-9,0,,,,0.122,-0.175,-0.893,,,,
0:00:01.079445,-445,157,876,1,-11,1,-0.282,-0.024,0.972,0.099,-0.107,-0.854,968,,,
0:00:01.085633,-445,158,875,1,-11,2,-0.284,-0.024,0.97,0.061,-0.198,-0.908,,,,
0:00:01.085720,-444,166,870,1,-9,1,-0.281,-0.025,0.97,,,,,67240464,9870,48774
0:00:01.092228,-449,173,879,2,-11,3,-0.281,-0.023,0.97,0.107,-0.198,-0.755,,,,
0:00:01.103932,-455,171,879,2,-11,2,-0.282,-0.024,0.971,0.214,-0.237,-0.824,,,,
0:00:01.105306,-444,161,877,2,-10,0,,,,0.191,-0.145,-0.771,,,,
0:00:01.115207,-444,160,870,3,-9,0,-0.282,-0.027,0.971,0.198,-0.145,-0.832,,,,
0:00:01.122586,-446,163,878,2,-11,1,-0.283,-0.024,0.974,,,,5272,,,
0:00:01.128511,-449,165,869,2,-9,2,-0.283,-0.024,0.969,0.107,-0.16,-0.801,,,,
0:00:01.133461,-451,165,879,3,-10,2,-0.284,-0.024,0.967,0.053,-0.175,-0.809,,,,
0:00:01.140257,-445,164,882,2,-9,0,-0.281,-0.025,0.971,0.069,-0.206,-0.87,,67240464,9870,48774
0:00:01.157264,-452,149,882,2,-11,2,,,,0.061,-0.198,-0.854,,,,
0:00:01.162531,-449,156,886,3,-11,1,-0.284,-0.025,0.972,0.206,-0.153,-0.854,,,,
0:00:01.163035,-447,163,882,0,-8,1,-0.283,-0.024,0.974,,,,,,,
0:00:01.175021,-452,161,875,2,-10,1,-0.284,-0.023,0.969,0.069,-0.229,-0.801,8585,,,
0:00:01.182471,-457,161,870,1,-11,1,-0.284,-0.026,0.971,0.061,-0.114,-0.832,,,,
0:00:01.183538,-446,164,868,1,-9,2,,,,0.153,-0.175,-0.816,,,,
0:00:01.191563,-441,153,880,1,-8,0,-0.282,-0.024,0.97,0.153,-0.153,-0.839,,,,
0:00:01.205906,-449,158,865,1,-9,1,-0.283,-0.024,0.973,0.114,-0.183,-0.885,,67240464,9870,48774
0:00:01.205985,-448,163,877,2,-10,0,-0.284,-0.024,0.971,,,,,,,
0:00:01.210995,-454,150,888,,,,-0.283,-0.025,0.973,0.198,-0.198,-0.854,,,,
0:00:01.219360,-443,166,875,2,-11,0,-0.283,-0.024,0.973,0.198,-0.175,-0.793,-7442,,,
0:00:01.225827,-452,159,868,2,-9,1,,,,0.137,-0.16,-0.793,,,,
0:00:01.231338,-451,162,874,2,-12,0,-0.282,-0.023,0.973,0.061,-0.191,-0.839,,,,
0:00:01.238730,-455,164,887,3,-11,1,-0.282,-0.024,0.971,0.13,-0.267,-0.778,,,,
0:00:01.245304,-447,158,872,3,-9,0,-0.283,-0.025,0.97,,,,,,,
0:00:01.254576,-449,163,885,2,-9,3,-0.283,-0.027,0.972,0.092,-0.221,-0.824,,67240464,9870,48774
0:00:01.265055,-443,163,867,2,-12,0,-0.285,-0.026,0.974,0.046,-0.183,-0.9,,,,
0:00:01.278934,-444,163,869,4,-10,2,,,,0.084,-0.214,-0.801,5575,,,
0:00:01.279021,-449,166,873,3,-11,3,-0.283,-0.024,0.974,0.069,-0.237,-0.732,,,,
0:00:01.283009,-456,152,876,2,-12,1,-0.285,-0.023,0.975,,,,,,,
0:00:01.289571,-449,158,883,0,-9,1,-0.284,-0.024,0.971,-0.046,-0.328,-0.671,,,,
0:00:01.296297,-442,163,879,0,-12,3,-0.284,-0.024,0.97,0.008,-0.267,-0.755,,,,
0:00:01.303365,-457,161,874,3,-10,1,-0.283,-0.024,0.971,0.076,-0.32,-0.809,,,,
0:00:01.308475,-448,161,875,1,-8,0,,,,0.069,-0.198,-0.809,,67240464,9870,48774
0:00:01.315395,-441,161,871,1,-8,3,-0.284,-0.024,0.971,0.099,-0.191,-0.824,3170,,,
