timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z
0:00:02.442434,-14,56,1008
0:00:02.452044,-13,60,1011
0:00:02.458487,-12,56,1012
0:00:02.465601,-9,52,1014
0:00:02.471489,-20,65,1007
0:00:02.477610,-14,56,1008
0:00:02.484429,-9,54,1016
0:00:02.491929,-13,59,1011
0:00:02.500720,-12,56,1007
0:00:02.512245,-17,54,1012
0:00:02.539578,-4,57,1009
0:00:02.541644,-12,65,1020
0:00:02.541717,-9,61,1017
0:00:02.541765,-15,58,1010
0:00:02.550837,-11,61,1018
0:00:02.551139,-7,52,1013
0:00:02.554998,-11,51,1007
0:00:02.562307,-18,63,1001
0:00:02.568412,-15,49,1013
0:00:02.577510,-11,60,1012
0:00:02.596809,-14,56,1008
0:00:02.607575,-9,61,1011
0:00:02.607902,-16,50,1016
0:00:02.607957,-14,60,1010
0:00:02.619480,-11,59,1009
0:00:02.631366,-15,55,1019
0:00:02.638249,-10,54,1025
0:00:02.641098,-15,55,1014
0:00:02.641290,-4,62,1008
0:00:02.648296,-17,58,1016
0:00:02.653048,-23,58,1018
0:00:02.676920,-17,63,1009
0:00:02.677436,-21,61,1007
0:00:02.677494,-20,58,1020
0:00:02.697402,-13,58,1004
0:00:02.708600,-9,55,1008
0:00:02.708733,-14,58,1008
0:00:02.708784,-11,58,1017
0:00:02.708831,-15,63,1016
0:00:02.718384,-11,60,1002
0:00:02.749444,-19,66,1015
0:00:02.749839,-8,51,1012
0:00:02.749890,-8,57,1011
0:00:02.749937,-19,68,1014
0:00:02.767480,-9,54,1000
0:00:02.767775,-9,71,1010
0:00:02.767828,-15,67,1017
0:00:02.786211,-13,61,1009
0:00:02.788656,-12,64,1015
0:00:02.788980,-15,60,1015
0:00:02.798378,-13,64,1020
0:00:02.799506,-18,54,1012
0:00:02.813852,-13,57,1003
0:00:02.814155,-16,50,1012
0:00:02.829373,-9,53,1008
0:00:02.829922,-5,65,1009
0:00:02.836120,-10,56,1009
0:00:02.843414,-11,55,1013
0:00:02.858429,-18,57,1009
0:00:02.858662,-15,57,1012
0:00:02.869364,-19,56,1015
0:00:02.869836,-13,63,1011
0:00:02.876344,-13,58,1014
0:00:02.885128,-15,59,1004
0:00:02.890471,-6,64,1000
0:00:02.899413,-13,62,1009
0:00:02.913448,-16,54,1015
0:00:02.913693,-12,52,1017
0:00:02.942808,-12,61,1008
0:00:02.948549,-21,67,1016
0:00:02.959992,-11,60,1006
0:00:02.962840,-5,58,1012
0:00:02.965137,-15,62,1010
0:00:02.965302,-13,59,1007
0:00:02.965355,-11,50,1011
0:00:02.967590,-16,67,1013
0:00:02.974814,-16,53,1012
0:00:02.981587,-11,62,1005
0:00:02.990254,-8,55,1017
0:00:02.995612,-11,60,1015
0:00:03.002504,-9,57,1008
0:00:03.009571,-5,62,1015
0:00:03.025431,-9,64,1008
0:00:03.025657,-13,62,1016
0:00:03.030410,-12,65,1015
0:00:03.044796,-16,59,1016
0:00:03.054045,-9,58,1009
0:00:03.054390,-16,49,1012
0:00:03.058487,-23,58,1021
0:00:03.067808,-11,57,1018
0:00:03.072464,-11,59,1020
0:00:03.081622,-14,51,1010
0:00:03.086414,-13,54,1009
0:00:03.093553,-16,58,1015
0:00:03.101393,-18,64,1022
0:00:03.110067,-18,63,1008
0:00:03.121344,-12,63,1014
0:00:03.122463,-14,63,1014
0:00:03.137396,-17,55,1012
0:00:03.139647,-13,52,1013
0:00:03.148932,-11,55,1007
0:00:03.158700,-16,57,1017
0:00:03.170368,-12,61,1001
0:00:03.171014,1,54,1012
0:00:03.177046,-6,63,1017
0:00:03.186418,-11,59,1002
0:00:03.186705,-20,57,1012
0:00:03.191611,-17,55,1009
0:00:03.198467,-12,68,1008
0:00:03.210342,-12,58,1005
0:00:03.212499,-17,55,1001
0:00:03.220280,-25,66,1018
0:00:03.235507,-11,64,1011
0:00:03.247435,-12,63,1016
0:00:03.250271,-9,59,1014
0:00:03.250448,-9,61,1009
0:00:03.255703,-3,68,1012
0:00:03.261673,-17,60,1018
0:00:03.271759,-11,58,1015
0:00:03.279460,-9,59,1010
0:00:03.289676,-7,54,1012
0:00:03.299667,-14,60,1007
0:00:03.300052,-14,63,1009
